"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"1";;;
2;"F1,F2";"FuseHolder8A";2;"8A";;;
3;"PS2,PS1";"DCM3623TA5N13B4T00Heatsink";2;"DCM3623TA5N13B4T00";;;
4;"D3";"TO-247-3_VerticalSINK";1;"D_Schottky_x2_KCom_AKA";;;
5;"C1,C2";"MKP1848C52080JK2";2;"2uF";;;
6;"R5,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"301";;;
7;"L3,L4";"0.15UInductor";2;"0.15uH";;;
8;"C4,C3";"CP_Radial_D12.5mm_P5.00mm";2;"1000uF";;;
9;"D1";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"D";;;
10;"D2";"LED_D5.0mm";1;"LED";;;
11;"K1";"Micro_Relay_V23086C1001A403";1;"RELAY_SPDT";;;
12;"L1,L2";"1uHInductor";2;"1uH";;;
13;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"470";;;
14;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"50k";;;
15;"JP1,JP2";"Jumper";2;"Jumper";;;
16;"J6";"SAMTEC_MPT-04-6.30-XX-X-V";1;"MPT-02";;;
17;"J1,J2,J3,J4,J5";"SAMTEC_IPL1-102-01-L-S-K";5;"IPL1";;;
18;"F3";"FUSE_3555-2";1;"3555-2";;;
